Sr No,Product Name,,BoM,Material,Surface Finish,Surface Area(mm2),Thickness(mm),Unit Weight(kg),Total Weight(kg),UoM,Quantity
63,CS04-28-016SM,TOP FRONT PANEL ATTACH.,"CS04-23-000SA_R2] CSR V4 SMALL CANISTER (4 DRAWERS), CS04-28-000SA_R2] CSR V4 BIG CANISTER (4 DRAWERS)",AISI 1020,POWDER COATING,41496.63,1,0.16,3.84,Unit,24
64,CS04-28-019SM,BOTT. FRONT PANEL ATTACH.,"CS04-23-000SA_R2] CSR V4 SMALL CANISTER (4 DRAWERS), CS04-28-000SA_R2] CSR V4 BIG CANISTER (4 DRAWERS)",AISI 1020,POWDER COATING,49998.63,1,0.19,4.56,Unit,24
65,CS04-25-016SM_R1,SIDE COVER_W,CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING,AISI 1020,POWDER COATING,776362.12,1,3.02,12.08,Unit,4
66,CS04-25-017SM_R1,SIDE COVER STIFFNER-1_W,CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING,AISI 1020,POWDER COATING,94608.69,1,0.38,3.04,Unit,8
67,CS04-25-021SM_R1,CENTER SUPPORT-2,CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING,AISI 1020,POWDER COATING,84522.57,1,0.33,1.32,Unit,4
68,CS04-25-030SM_R1,CENTER SUPPORT_B,CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING,AISI 1020,POWDER COATING,76095.86,1,0.29,2.32,Unit,8
69,CS04-25-018SM,SIDE COVER_W,CS04-25-000SA_R2] CSR V4 SMALL DRAWER CAGE WELDING,AISI 1020,POWDER COATING,776367.9,1,3.02,12.08,Unit,4
70,CS04-23-025SM_R2,CSR BACK COVER 3,CS04-28-000SA_R2] CSR V4 BIG CANISTER (4 DRAWERS),AISI 1020,BLUE POWDER COAT,518276.12,1,2.04,8.16,Unit,4
71,CS04-28-014SM,TOP FRONT PANEL,CS04-28-000SA_R2] CSR V4 BIG CANISTER (4 DRAWERS),AISI 1020,POWDER COATING,267035.41,1,1.05,8.4,Unit,8
72,CS04-28-017SM,TOP FRONT PANEL,CS04-28-000SA_R2] CSR V4 BIG CANISTER (4 DRAWERS),AISI 1020,POWDER COATING,266790.84,1,1.05,8.4,Unit,8
73,DR02-04-06-001_R2,BOTTOM C OF OUTER CASING,DR02-04-06-000SA_R1] DRAWER MAIN CASING,AISI 1020,POWDER COATING,1092517.45,1,4.31,86.2,Unit,20
74,DR02-04-06-002_R2,UPPER C OF OUTER CASING,DR02-04-06-000SA_R1] DRAWER MAIN CASING,AISI 1020,POWDER COATING,1192357.73,1,4.72,94.4,Unit,20
75,DR02-04-20-001,DRAWER FRONT COVER,"DR02-04-20-000SA] DRAWER FRONT PANEL, DR02-04-21-000SA] DRAWER FRONT PANEL",AISI 1020,POWDER COATING,108483.77,1,0.55,22,Unit,40
76,MD01-02-01-001_R3,BOTTOM C OF OUTER  CASING,MD01-02-01-000SA_R1] MFD MAIN CASING,AISI 1020,POWDER CAOTING,967521.79,1,3.81,38.1,Unit,10
77,MD01-02-01-002_R3,UPPER C OF OUTER CASING,MD01-02-01-000SA_R1] MFD MAIN CASING,AISI 1020,POWDER COATING,762646.73,1,3.01,30.1,Unit,10
78,PR05-15-20-001_R1,PAPER GUIDE TOP PART,PR05-15-20-000SA_R1] S-PART ASSEMBLY,AISI 1020,BLUE POWDER COAT,357950.5,1,1.4,2.8,Unit,2
79,DD01-04-77-001_R3,TROLLY SIDE GUARD-1,DD01-04-77-000SA_R3] TROLLY SIDE COVER 1,AISI 1020,BLUE POWDER COAT,536605.49,1,2.1,4.2,Unit,2
80,DD01-04-78-001_R2,TROLLY SIDE GUARD-2,DD01-04-78-000SA_R3] TROLLEY SIDE GUARD 2,AISI 1020,BLUE POWDER COAT,541391,1,2.12,4.24,Unit,2
81,CS04-23-024SM_R2,CSR BACK COVER 2,CS04-23-000SA_R2] CSR V4 SMALL CANISTER (4 DRAWERS),AISI 1020,BLUE POWDER COAT,370419.76,1,1.45,11.6,Unit,8
82,CS04-23-026SM_R2,CSR BACK COVER 4,CS04-28-000SA_R2] CSR V4 BIG CANISTER (4 DRAWERS),AISI 1020,BLUE POWDER COAT,512734.78,1,2.01,8.04,Unit,4
83,DR02-04-18-003_R1,FRONT PANEL BOTTOM PLATE,"DR02-04-18-000SA] DRAWER FRONT PANEL, DR02-04-19-000SA] DRAWER FRONT PANEL, DR02-04-20-000SA] DRAWER FRONT PANEL, DR02-04-21-000SA] DRAWER FRONT PANEL, MD01-02-09-000SA] DRAWER FRONT PANEL-RIGHT, MD01-02-07-000SA] DRAWER FRONT PANEL-LEFT",AISI 1020,POWDER COATING,14230.63,1,0.05,8,Unit,160
